TIME,a,b,c,d,e,f,g,h,i,j,k,l,m,o,Prediction_RNNTransformer
07/14/2020 23:00:00,-1.602610969038066,0.0,-1.466672698126762,-1.5338792621149095,0.21806897442663206,-1.5303931456662012,-1.89599006867272,-0.35958515700102917,-1.4796038707290597,-1.5290834799276178,-1.5272840745103564,-1.2679522112966484,-1.4434492164882833,0,0.0
07/14/2020 23:10:00,-1.5684773006871473,0.0,-1.4365533959836772,-1.490137136381764,-0.4097861938467083,-1.5136492068665994,-1.9168081028444428,-0.3814192154664556,-1.4796038707290597,-1.5305039857734886,-1.5291845627170562,-1.2296558720869968,-1.398747331069334,0,0.0
07/14/2020 23:20:00,-1.5510135763749158,0.0,-1.4214903248968698,-1.4804164481971271,0.22960438676682687,-1.4969051407366611,-1.8825196609487922,-0.3814192154664556,-1.4796038707290597,-1.5134513876609135,-1.5120751141775073,-1.2105043774946174,-1.3888356069162966,0,0.0
07/14/2020 23:30:00,-1.5946725191888076,0.0,-1.4516130470552195,-1.515653311652917,-0.14792663569231107,-1.4969051407366611,-1.949871860077562,-0.3814192154664556,-1.4615265486911828,-1.5556091799514138,-1.5519976828493354,-1.2296558720869968,-1.4248033962657123,0,0.0
07/14/2020 23:40:00,-1.5938791068819511,0.0,-1.4516130470552195,-1.510792773341055,0.0872726195690476,-1.5136492068665994,-1.9131343698751093,-0.3814192154664556,-1.4796038707290597,-1.5537144389437825,-1.5500960911563195,-1.2296558720869968,-1.4198357126431822,0,0.0
07/14/2020 23:50:00,-1.5946725191888076,0.0,-1.4365533959836772,-1.515653311652917,-0.022260766471822027,-1.5136492068665994,-1.9670161612799533,-0.3814192154664556,-1.4796038707290597,-1.5485044865607036,-1.5462940112566048,-1.2296558720869968,-1.4248033962657123,0,0.0
07/15/2020 00:00:00,-1.5692707256825102,0.0,-1.4365533959836772,-1.510792773341055,-0.16653804496488606,-1.5136492068665994,-1.936401452353634,-0.3814192154664556,-1.4796038707290597,-1.5233992569047226,-1.5206303723922725,-1.2488051982092283,-1.4198357126431822,0,0.0
07/15/2020 00:10:00,-1.585940657032692,0.0,-1.4214903248968698,-1.4998582130054894,-0.41780067360924933,-1.4969051407366611,-1.9400751853229676,-0.3814192154664556,-1.4615265486911828,-1.556557082626056,-1.552947677778356,-1.2296558720869968,-1.4086675192830564,0,0.0
07/15/2020 00:20:00,-1.602610969038066,0.0,-1.4516130470552195,-1.5180829981502164,-0.3377249857804699,-1.5136492068665994,-1.9510976683040038,-0.3814192154664556,-1.4796038707290597,-1.5485039543898784,-1.5472445401306167,-1.2488051982092283,-1.4272874034360323,0,0.0
07/15/2020 00:30:00,-1.5597454385310314,0.0,-1.4214903248968698,-1.4719111859197722,0.05573147254919675,-1.4969051407366611,-1.849455743206541,-0.3814192154664556,-1.4796038707290597,-1.5238724277248326,-1.522530896195305,-1.2105043774946174,-1.3801697968832525,0,0.0
07/15/2020 00:40:00,-1.5938791068819511,0.0,-1.4516130470552195,-1.5047183628782634,-0.027460361905532263,-1.5136492068665994,-1.8763978427274393,-0.3814192154664556,-1.4796038707290597,-1.552767636088848,-1.5500960911563195,-1.2296558720869968,-1.4136302483909362,0,0.0
07/15/2020 00:50:00,-1.5597454385310314,0.0,-1.4365533959836772,-1.5047183628782634,0.6734289111220978,-1.5136492068665994,-1.7967984759550992,-0.3814192154664556,-1.4976833953542095,-1.4982935305559708,-1.4959161945119694,-1.2488051982092283,-1.4136302483909362,0,0.0
07/15/2020 01:00:00,-1.602610969038066,0.0,-1.4516130470552195,-1.5168683491211108,0.8408627668595079,-1.5136492068665994,-1.862926150930469,-0.3814192154664556,-1.4796038707290597,-1.5584518236336873,-1.5557997983453828,-1.2488051982092283,-1.426045534985208,0,0.0
07/15/2020 01:10:00,-1.5684773006871473,0.0,-1.4214903248968698,-1.477986761699828,-0.0754177653924063,-1.5136492068665994,-1.867825852635372,-0.3814192154664556,-1.4976833953542095,-1.5404518550172974,-1.538690349805834,-1.2105043774946174,-1.3863594289103898,0,0.0
07/15/2020 01:20:00,-1.602610969038066,0.0,-1.4365533959836772,-1.5095777358728613,-0.9711757909343351,-1.5136492068665994,-2.0000800790222044,-0.3814192154664556,-1.4796038707290597,-1.5693459990396603,-1.5653050514891695,-1.2296558720869968,-1.4185942078581477,0,0.0
07/15/2020 01:30:00,-1.585940657032692,0.0,-1.4365533959836772,-1.5035029369709816,-0.21193895013808592,-1.5136492068665994,-1.8935408598567884,-0.3814192154664556,-1.4976833953542095,-1.5380829143259593,-1.5377398209318223,-1.2296558720869968,-1.4123889797714761,0,0.0
07/15/2020 01:40:00,-1.585940657032692,0.0,-1.4365533959836772,-1.493782248786345,-0.5728813647598343,-1.5136492068665994,-1.9070125516537564,-0.3814192154664556,-1.4796038707290597,-1.5560828829423492,-1.554849269471371,-1.2105043774946174,-1.4024661578389614,0,0.0
07/15/2020 01:50:00,-1.585940657032692,0.0,-1.4516130470552195,-1.510792773341055,-0.20931334202779694,-1.5136492068665994,-1.9315031952309003,-0.3814192154664556,-1.4976833953542095,-1.5461360780401918,-1.5453440163275842,-1.2488051982092283,-1.4198357126431822,0,0.0
